Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km
E07000210,Mole Valley,Non-metropolitan District,258.3213,87769,340,85637,332
E07000211,Reigate and Banstead,Non-metropolitan District,129.1439,153629,1190,138375,1071
E07000212,Runnymede,Non-metropolitan District,78.0407,88524,1134,80501,1032
E07000213,Spelthorne,Non-metropolitan District,44.888000000000005,103551,2307,95852,2135
E07000214,Surrey Heath,Non-metropolitan District,95.09299999999999,91237,959,86378,908
E07000215,Tandridge,Non-metropolitan District,248.19459999999998,88707,357,83178,335
E07000216,Waverley,Non-metropolitan District,345.17019999999997,130063,377,121754,353
E07000217,Woking,Non-metropolitan District,63.603500000000004,104179,1638,99493,1564
E10000032,West Sussex,County,1991.0517000000002,892336,448,808919,406
E07000223,Adur,Non-metropolitan District,42.0656,64688,1538,61334,1458
E07000224,Arun,Non-metropolitan District,220.99099999999999,166366,753,149811,678
E07000225,Chichester,Non-metropolitan District,786.195,126103,160,113995,145
E07000226,Crawley,Non-metropolitan District,44.971199999999996,119509,2657,107053,2380
E07000227,Horsham,Non-metropolitan District,530.2785,148696,280,131540,248
E07000228,Mid Sussex,Non-metropolitan District,334.0295,154930,464,140188,420
E07000229,Worthing,Non-metropolitan District,32.520900000000005,112044,3445,104998,3229
E12000009,SOUTH WEST,Region,23835.9571,5764881,242,5300831,222
E06000022,Bath and North East Somerset,Unitary Authority,345.8783,195618,566,175538,508
E06000058,"Bournemouth, Christchurch and Poole",Unitary Authority,162.07,401898,2480,379441,2341
E06000023,"Bristol, City of",Unitary Authority,109.66680000000001,479024,4368,428074,3903
E06000052,Cornwall,Unitary Authority,3545.4344,575413,162,533760,151
E06000059,Dorset,Unitary Authority,2490.9567,383274,154,365897,147
E06000053,Isles of Scilly,Unitary Authority,16.3177,2281,140,2224,136
E06000024,North Somerset,Unitary Authority,373.7493,219145,586,203091,543
E06000026,Plymouth,Unitary Authority,79.8496,266862,3342,256589,3213
